plot,Rep,Row,Column,PINumber,Plant Height.sp,DaysToFlower.sp,TillersPerPlant.sp,StemDiameterLower.sp,StemDiameterUpper.sp,PaniclesPerPlant.sp,LeafNumber.sp,LeafLength.sp,LeafWidth.sp,SeedMassPerPlant.sp,SeedProtein.sp,SeedOil.sp,SeedAsh.sp,SeedStarch.sp,SeedMoisture.sp
4200,4,16,13,PI533876,2.205020188,60.99184311,0.282156632,21.56722566,10.37889391,1.121264449,12.84757441,80.71206389,5.951212325,17.52994417,11.83352551,3.410655385,1.920000501,42.80695304,17.69382281
4201,4,16,14,SC0864,1.413646491,65.39429976,0.289662341,NA,NA,1.130090303,9.838795515,72.63967958,7.574690718,41.81018685,13.46235418,4.162901316,1.473926807,72.0507299,8.092503624
4202,4,16,15,PI597969,1.282249729,67.33770238,0.461437292,NA,NA,1.3889901,11.66503432,68.36729526,6.718515016,25.31385787,16.89895294,4.090145926,1.727275007,72.2742022,8.643089434
4203,4,16,16,PI576349,0.990831366,65.30906594,1.802002253,17.41004946,7.570009703,1.147999819,8.3212953,63.07991088,5.80723923,19.98616782,NA,NA,NA,NA,NA
4204,4,16,17,PI534024,1.024397001,73.28765346,0.306006803,NA,NA,1.157180304,12.47758222,64.72252637,6.930071836,27.47542644,15.43234565,4.579629197,1.734444809,72.80152086,8.610179688
4205,4,16,18,PI576361,1.022952411,67.2614559,0.643319338,NA,NA,1.166605789,10.96889953,71.45014163,7.516037312,35.91680994,13.94672616,4.251867148,1.704459998,72.20285415,8.028595674
4206,4,16,19,PI564163,1.101502119,64.74248172,0.309131256,19.62718791,9.54094651,1.176342077,9.460254531,73.77775661,7.134536381,54.51594854,12.80014772,4.419102917,1.511168627,74.68559634,8.036451634
4207,4,16,20,PI533883,1.050049048,62.24826953,0.808798024,NA,NA,1.186437196,9.786651708,66.04037125,6.785338963,33.83557385,14.09073219,3.83133731,1.639917215,71.66344029,7.736313495
4208,4,16,21,Day,0.868595907,65.29095248,0.807704095,NA,NA,1.196913357,9.443090874,63.88298557,6.833450146,38.07698029,17.30768425,3.603571414,1.76575425,70.39273879,7.844914686
4209,4,16,22,PI533964,0.922148808,67.37314144,0.471117055,NA,NA,1.207756545,11.76956993,64.9105996,7.523821459,31.3166301,15.45646043,4.2458063,1.728235363,72.26195992,7.947537661
4210,4,16,23,PI576386,1.380713156,71.49155226,1.304268813,19.17674014,9.153471446,1.218935582,9.596086523,63.98821341,6.916309849,21.81736256,16.73582236,4.138042695,1.836613952,68.42088677,8.678053277
4211,4,17,10,PI534043,0.943940773,67.81829927,0.425216159,NA,NA,1.704345134,9.714008414,65.38834607,6.044657928,28.61043837,13.12616008,4.442302399,1.481719008,72.73835942,7.915504133
4212,4,17,11,PI564163,1.062610906,66.18055221,0.266988664,17.97287658,8.484834064,1.714160581,10.20442326,68.65451563,6.670073804,32.83985699,13.2813718,4.044562672,1.528981366,73.64553343,7.584495826
4213,4,17,12,PI534053,0.916281577,69.04713327,0.273951889,18.67957799,8.831876693,1.724001579,11.52484295,58.15068524,6.560505474,26.48801963,13.8511858,4.306822733,1.6055194,72.60532092,8.230738335
4214,4,17,13,PI534124,1.149946105,65.93143877,0.281020142,18.57028449,9.028911317,1.733863487,10.85027048,62.5318549,6.505992846,23.00865451,14.31346886,3.764082392,1.695962346,67.00221915,8.697646644
4215,4,17,14,PI651496,2.163595327,74.34889559,0.45288075,19.52447859,8.530934948,1.74372937,12.84070951,56.39802463,6.561626272,21.33087757,15.26242034,4.526341416,1.650207584,70.01438582,8.429985724
4216,4,17,15,PI534127,1.262223647,67.80758814,0.459064548,17.73700178,8.527945331,1.75359128,10.33116567,64.6441944,6.687329744,20.69304576,15.05860627,2.263599441,1.688679623,59.3360161,10.21484885
4217,4,17,16,PI534023,0.900831736,74.7938671,0.299133765,NA,NA,1.763490591,11.65664325,59.01036416,7.497620803,28.04827887,15.48956008,4.605855886,1.701941468,72.67717283,8.234583584
4218,4,17,17,PI656036,1.379423049,70.78532065,1.137759669,21.14595264,10.6519143,1.773500566,10.97714572,70.74153385,8.571653827,44.32338888,12.51069769,4.613110164,1.475667583,74.49102122,7.672051739
4219,4,17,18,PI534087,1.203000671,62.26786632,0.304801286,NA,NA,1.783702569,9.80267719,72.83770337,7.008421946,44.5646481,13.93020539,4.420361977,1.650619474,71.79611577,7.900920439
4220,4,17,19,PI597977,0.796568179,58.75235318,1.305448818,NA,NA,NA,8.128244726,57.93387263,6.027435576,NA,NA,NA,NA,NA,NA
4221,4,17,20,SC0878,1.575129178,66.25619664,0.305054626,NA,NA,1.804946176,10.11885273,69.03504159,7.613554713,52.13495751,14.22579081,4.429860254,1.571058079,74.60217724,7.829401495
4222,4,17,21,PI534062,1.088687759,71.29231701,0.303993314,21.31076341,8.614549458,1.816048314,11.77450114,60.46621024,7.106824126,22.73927911,17.6836567,2.277108588,1.84184878,65.45332402,9.193137176
4223,4,17,22,SC0914,0.887250129,66.36468366,0.802520337,NA,NA,1.827433201,10.76518809,66.06237861,7.902315453,48.45696082,14.18308821,4.224357658,1.654246936,72.97907005,7.540679352
4224,4,17,23,PI534158,0.920821418,64.97203764,0.300852743,NA,NA,1.839046166,10.25591144,70.65854676,7.575081657,42.00149545,13.87754228,4.186608008,1.667527739,72.41393185,7.520857144
4225,4,18,10,PI22326,1.303796935,71.71950796,0.595983929,NA,NA,1.343949722,11.5490483,61.0324757,6.229638101,24.14334107,14.99145087,4.180410048,1.576714505,70.32525706,8.215658599
4226,4,18,11,PI534147,1.007488696,65.59034534,0.267170703,NA,NA,1.351920582,10.53868214,68.28219927,7.323114826,33.66810219,14.80164328,4.062711023,1.929236625,70.71929692,8.96236541
4227,4,18,12,PI641874,0.906179342,64.46936136,0.273510654,18.98340545,9.486923544,1.359896213,9.863320618,64.38192286,6.601365921,32.94502999,15.76166424,3.735011807,1.581131111,71.11540929,7.811430517
4228,4,18,13,PI533810,0.879863531,71.86813545,0.279933183,21.45883406,10.22392873,1.36784848,10.68796655,65.81664651,7.714261439,20.46452944,17.74428319,3.737312227,2.011976304,68.11221485,9.216470368
4229,4,18,14,PI576347,0.963534496,59.80008423,1.621156293,17.49284129,8.245923099,2.125732889,8.677623519,60.75137023,6.326791009,34.64995302,15.06337702,3.429612089,1.721554515,71.66252535,7.6724676
4230,4,18,15,PI576417,0.967187856,66.77378649,0.291750757,NA,NA,1.88352793,10.16729704,65.68609404,6.468915243,34.34255764,15.29417952,4.501911029,1.695175227,72.18668941,8.391607817
4231,4,18,16,PI576430,1.005822944,63.27502185,0.631322288,NA,NA,1.891283265,8.986991205,59.4558179,6.280221313,37.3376157,15.26945299,4.324208398,1.873401572,69.49580956,9.191191654
4232,4,18,17,PI656012,1.154440582,70.77985473,0.799567869,19.71378641,10.00681506,1.399077898,11.81170921,68.22554175,7.984957065,43.36392317,14.47510741,4.231503524,1.65699646,72.55333153,8.148923727
4233,4,18,18,PI601816,1.533041436,66.772363,0.636341868,17.88917965,9.873736735,1.906975417,10.46645485,55.32526549,7.5922216,52.83647209,13.57467272,4.513796055,1.606834647,72.55717388,8.798245441
4234,4,18,19,PI534155,0.971628121,70.76132564,0.301830321,20.73158686,10.14563131,1.415016731,10.45623492,62.92498904,7.946544598,23.90508961,19.39421485,2.471086301,2.193454159,62.33123632,10.22199408
4235,4,18,20,PI576427,0.905204704,62.26311784,0.466378727,NA,NA,1.423212935,8.616053754,64.02971234,7.24274644,46.53552771,14.41628969,3.728374915,1.637118975,70.03895656,8.327489452
4236,4,18,21,PI533985,0.963776312,65.291295,1.300350342,NA,NA,1.43153336,9.935911412,70.24443536,7.155861117,48.52413902,12.96965095,4.39566266,1.517811724,73.30703309,8.146359651
4237,4,18,22,SC0542,0.917348817,63.35217927,0.298987991,19.82155984,9.416143889,1.939888677,9.260806271,67.39915812,7.236154371,50.49556985,16.14937652,2.117950212,1.520101306,73.55436837,6.203821233
4238,4,18,23,SC0837,0.845927084,68.94740789,0.462495838,NA,NA,1.448203406,11.58573636,59.58388068,7.40895002,34.99637413,15.88369455,3.990237945,1.813291241,72.06529832,7.818661434
4239,4,19,10,PI534145,0.998649124,63.12210097,1.426726461,16.19590528,7.707999104,2.464116485,9.554088202,62.14160596,6.124419154,46.60660913,14.34721325,2.743302361,1.636770637,70.15126031,7.82581353
